Date,Open,High,Low,Close,Volume
08/11/2023,"241.77","243.79","238.02","242.65","99,038,641"
08/10/2023,"245.40","251.80","243.00","245.34","109,498,602"
08/09/2023,"250.87","251.10","241.90","242.19","101,596,305"
08/08/2023,"247.45","250.92","245.01","249.70","96,642,180"
08/07/2023,"251.45","253.65","242.76","251.45","111,097,906"
08/04/2023,"260.97","264.77","253.11","253.86","99,539,914"
08/03/2023,"252.04","260.49","252.00","259.32","97,829,555"
08/02/2023,"255.57","259.52","250.49","254.11","101,752,898"
08/01/2023,"266.26","266.47","260.25","261.07","83,645,719"
07/31/2023,"267.48","269.08","263.78","267.43","84,582,172"
07/28/2023,"259.86","267.25","258.23","266.44","111,446,000"
07/27/2023,"268.31","269.13","255.30","255.71","103,697,297"
07/26/2023,"263.25","268.04","261.75","264.35","95,856,180"
07/25/2023,"272.38","272.90","265.00","265.28","112,757,297"
07/24/2023,"255.85","269.85","254.12","269.06","137,004,984"
07/21/2023,"268.00","268.00","255.80","260.02","161,796,094"
07/20/2023,"279.56","280.93","261.20","262.90","175,158,297"
07/19/2023,"296.04","299.29","289.52","291.26","142,355,391"
07/18/2023,"290.15","295.26","286.01","293.34","112,434,703"
07/17/2023,"286.63","292.23","283.57","290.38","131,569,594"
07/14/2023,"277.01","285.30","276.31","281.38","120,062,398"
07/13/2023,"274.59","279.45","270.60","277.90","112,681,508"
07/12/2023,"276.33","276.52","271.46","271.99","95,672,141"
07/11/2023,"268.65","270.90","266.37","269.79","91,972,359"
07/10/2023,"276.47","277.52","265.10","269.61","119,425,398"
07/07/2023,"278.43","280.78","273.77","274.43","113,879,203"
07/06/2023,"278.09","279.97","272.88","276.54","120,707,398"
07/05/2023,"278.82","283.85","277.60","282.48","131,530,891"
07/03/2023,"276.49","284.25","275.11","279.82","118,999,000"
06/30/2023,"260.60","264.45","259.89","261.77","112,620,797"
06/29/2023,"258.03","260.74","253.61","257.50","131,283,406"
06/28/2023,"249.70","259.88","248.89","256.24","159,770,797"
06/27/2023,"243.24","250.39","240.85","250.21","164,968,188"
06/26/2023,"250.07","258.37","240.70","241.05","179,990,594"
06/23/2023,"259.29","262.45","252.80","256.60","177,460,797"
06/22/2023,"250.77","265.00","248.25","264.61","166,875,906"
06/21/2023,"275.13","276.99","257.78","259.46","211,797,109"
06/20/2023,"261.50","274.75","261.12","274.45","165,611,203"
06/16/2023,"258.92","263.60","257.21","260.54","167,915,594"
06/15/2023,"248.40","258.95","247.29","255.90","160,171,203"
06/14/2023,"260.17","261.57","250.50","256.79","170,575,500"
06/13/2023,"253.51","259.68","251.34","258.71","162,384,297"
06/12/2023,"247.94","250.97","244.59","249.83","150,740,500"
06/09/2023,"249.07","252.42","242.02","244.40","200,242,406"
06/08/2023,"224.22","235.23","223.01","234.86","164,489,703"
06/07/2023,"228.00","230.83","223.20","224.57","185,710,797"
06/06/2023,"216.14","221.91","212.53","221.31","146,911,594"
06/05/2023,"217.80","221.29","214.52","217.61","151,143,109"
06/02/2023,"210.15","217.25","209.75","213.97","164,398,406"
06/01/2023,"202.59","209.80","199.37","207.52","148,029,906"
05/31/2023,"199.78","203.95","195.12","203.93","150,711,703"
05/30/2023,"200.10","204.48","197.53","201.16","128,818,703"
05/26/2023,"184.62","198.60","184.53","193.17","162,061,500"
05/25/2023,"186.54","186.78","180.58","184.47","96,870,719"
05/24/2023,"182.23","184.22","178.22","182.90","137,605,109"
05/23/2023,"186.20","192.96","185.26","185.77","156,952,094"
05/22/2023,"180.70","189.32","180.11","188.87","132,001,406"
05/19/2023,"177.17","181.95","176.31","180.14","136,196,703"
05/18/2023,"174.22","177.06","172.45","176.89","109,520,305"
05/17/2023,"168.41","174.50","167.19","173.86","125,473,602"
05/16/2023,"165.65","169.52","164.35","166.52","98,288,789"
05/15/2023,"167.66","169.76","164.55","166.35","105,592,492"
05/12/2023,"176.07","177.38","167.23","167.98","157,849,594"
05/11/2023,"168.70","173.57","166.79","172.08","103,889,906"
05/10/2023,"172.55","174.43","166.68","168.54","119,840,703"
05/09/2023,"168.95","169.82","166.56","169.15","88,965,039"
05/08/2023,"173.72","173.80","169.19","171.79","112,249,398"
05/05/2023,"163.97","170.79","163.51","170.06","107,607,297"
05/04/2023,"162.71","162.95","159.65","161.20","95,108,484"
05/03/2023,"160.01","165.00","159.91","160.61","119,728,000"
05/02/2023,"161.88","165.49","158.93","160.31","128,259,695"
05/01/2023,"163.17","163.28","158.83","161.83","109,015,000"
04/28/2023,"160.90","165.00","157.32","164.31","122,515,797"
04/27/2023,"152.64","160.48","152.37","160.19","127,015,203"
04/26/2023,"160.29","160.67","153.14","153.75","153,364,094"
04/25/2023,"159.82","163.47","158.75","160.67","121,999,297"
04/24/2023,"164.65","165.65","158.61","162.55","140,006,594"
04/21/2023,"164.80","166.00","161.32","165.08","123,539,000"
04/20/2023,"166.17","169.70","160.56","162.99","210,970,797"
04/19/2023,"179.10","183.50","177.65","180.59","125,732,703"
